JobID|JobName|Partition|State|AllocTRES|ElapsedRaw|
14919737|LCDM|large_cpu|CANCELLED by 43801|billing=3024,cpu=4320,mem=7726620M,node=30|1608|
14919737.batch|batch||CANCELLED|cpu=144,mem=257554M,node=1|1609|
14919737.extern|extern||COMPLETED|billing=3024,cpu=4320,mem=7726620M,node=30|1608|
14919737.0|ramses3d||FAILED|cpu=1800,mem=7726620M,node=30|1614|
14920353|LCDM|large_cpu|CANCELLED by 43801|billing=3024,cpu=4320,mem=7726620M,node=30|220865|
14920353.batch|batch||CANCELLED|cpu=144,mem=257554M,node=1|220866|
14920353.extern|extern||COMPLETED|billing=3024,cpu=4320,mem=7726620M,node=30|220865|
14920353.0|ramses3d||FAILED|cpu=1200,mem=7726620M,node=30|220871|
14930321|LCDM|large_cpu|CANCELLED by 43801|billing=3024,cpu=4320,mem=7726620M,node=30|7657|
14930321.batch|batch||CANCELLED|cpu=144,mem=257554M,node=1|7658|
14930321.extern|extern||COMPLETED|billing=3024,cpu=4320,mem=7726620M,node=30|7657|
14930321.0|ramses3d||FAILED|cpu=600,mem=7726620M,node=30|7662|
14964487|LCDM|large_cpu|CANCELLED by 43801||0|
14970322|LCDM|large_cpu|TIMEOUT|billing=3024,cpu=4320,mem=7726620M,node=30|259224|
14970322.batch|batch||CANCELLED|cpu=144,mem=257554M,node=1|259225|
14970322.extern|extern||COMPLETED|billing=3024,cpu=4320,mem=7726620M,node=30|259224|
14970322.0|ramses3d||FAILED|cpu=1200,mem=7726620M,node=30|259235|
14986849|LCDM|large_cpu|TIMEOUT|billing=3024,cpu=4320,mem=7726620M,node=30|259209|
14986849.batch|batch||CANCELLED|cpu=144,mem=257554M,node=1|259211|
14986849.extern|extern||COMPLETED|billing=3024,cpu=4320,mem=7726620M,node=30|259210|
14986849.0|ramses3d||FAILED|cpu=2400,mem=7726620M,node=30|259223|
15020221|LCDM|large_cpu|CANCELLED by 43801||0|
15020223|LCDM|large_cpu|CANCELLED by 43801||0|
15020756|LCDM|large_cpu|CANCELLED by 43801||0|
15020759|CPL0|large_cpu|CANCELLED by 43801||0|
15020763|CPL1|large_cpu|CANCELLED by 43801||0|
15020836|LCDM|large_cpu|CANCELLED by 43801|billing=3024,cpu=4320,mem=7726620M,node=30|0|
15020838|CPL0|large_cpu|CANCELLED by 43801|billing=3024,cpu=4320,mem=7726620M,node=30|0|
15020842|CPL1|large_cpu|CANCELLED by 43801|billing=3024,cpu=4320,mem=7726620M,node=30|0|
15034844|LCDM4|large_cpu|CANCELLED by 43801||0|
